,RFB,Gravitational,PSH,CAES,Thermal,Metal-Air
system_cost,0.084,0.084,0.084,0.083,0.084,0.083
battery_cap,,,,,,
to_third_tech_cap,0.029,0.163,0.043,0.095,0.0,
third_tech_energy_cap,0.052,0.583,0.191,2.641,0.0,38.922
from_third_tech_cap,,,,0.25,,
to_PGP_cap,0.195,0.181,0.189,0.165,0.198,0.079
PGP_storage_cap,366.558,367.673,362.759,375.212,368.036,321.453
from_PGP_cap,0.851,0.723,0.839,0.643,0.879,0.512
third_tech_dur,1.807,3.567,4.424,10.577,,100.0
PGP_dur,430.835,508.812,432.587,583.293,418.765,627.715
batt_cycles,,,,0.0,,0.0
third_tech_cycles,365.081,258.548,294.149,88.039,,14.028
PGP_cycles,1.724,1.584,1.698,1.387,1.74,0.853
